,Streaming_platform,Title,IMDb_id,First Review
0,HBO,Game of Thrones,0944947,"Let's say you're reading these reviews and haven't watched GoT yet, but now that it's finished are considering the marathon. What's the consensus? In this case, the consensus is accurate, and that is:Seasons 1-6: outstanding. Deep world-building, intelligent dialogue, epic set-pieces worthy of Hollywood, expert acting, detailed plotting, genuine surprises, great soundtrack used sparingly. GoT is worth watching for these seasons, definitely.Season 7: you suddenly notice the writing and plotting has taken a sharp dive downwards in quality. There are inexplicable ideas, inconsistent characterisation and soap-opera dramas. But at least the entertainment value is still very high, so it gets a pass.Season 8: this drop chasms down to depths you didn't think possible. The writing has got so amateurish that the still-fantastic production values are no longer enough to save it. If you ever enjoyed Lost but were amazed at how bad the final season was, you're in familiar territory here.The biggest problem with the final season was it took us out of the story and got us thinking about its many weaknesses. We lost our suspension of disbelief. Fatal for fiction. It also ruined the series-arcs to the point where a rewatch of the entire series is pointless.So can I recommend a GoT marathon for newcomers? Yes, the first 6 seasons are worth the disappointments later on. But best series of all time it is not. It could've been, but dropping the ball in the final stretch puts it behind the following superior series more worthy of your marathon:Battlestar Galactica (2003-2008)Twin Peaks (all 3 seasons, plus the movie)Breaking Bad"
1,HBO,Westworld,0475784,"As many sci-fi fans will know, the show 'Westworld' is based on the 1973 feature film of the same name (written and directed by Michael Crichton), and the premise is basically the same as it was then: In a future where technological possibilities are seemingly endless, a highly sophisticated theme park offers rich clients the chance to visit the long gone era of the Old West (Crichton later explored a variation of that theme in a certain well known novel - which was then adapted by a certain Mr. Spielberg - albeit with slightly different creatures than cowboys populating a slightly more ""jurassic"" environment).The show does a great job pulling the viewer immediately into 
 Westworld. Within 10 minutes of the first episode, the basic rules of 
 the theme park are established: paying guests called ""newcomers"" get to 
 interact with androids called ""hosts"" (which to the naked eye are 
 indiscernible from the guests) in a world dressed up like the Old West 
 - and in this world, the guest truly is king. The rules are brutally 
 simple: the visitors get to do whatever they like with - or to - the 
 androids. They can have a friendly chat with them, flirt with them or 
 embark on a spontaneous (or scripted) adventure with them - but they 
 can also shoot them, rape them, torture them and kill them at will. 
 Imagine a real-life version of the game 'Grand Theft Auto' (in a 
 slightly different setting) and you'll get the idea.The androids, on the other hand, are constructed and programmed in a 
 way that is supposed to inhibit them from physically harming ""living"" 
 creatures. At the beginning of the show - thanks to an interesting 
 choice of storytelling - we get to experience Westworld from the 
 perspective of the androids, which reveals a cruel detail about their 
 nature: they apparently experience emotions. Artificial or not, they do 
 feel pain and fear - as well as affection and anger, and they have no 
 idea that they don't count as ""real"" people (at least not to those who 
 call themselves real people). And while that detail certainly makes the 
 ""game"" even more thrilling and more realistic for the visitors, it 
 means that the shocking abuse some of the androids have to suffer is 
 harrowingly real to them.The way the show is constructed - so far - it immediately confronts the 
 viewer with very uncomfortable questions. How do we as humans behave 
 towards creatures we consider non-human? How excessive do we become and how thin does our layer of morality turn out to be if we're allowed to 
 live out all our fantasies without having to fear any consequences for 
 our actions? And at what point should a creature have rights similar to 
 those we demand for ourselves? How do we define ""sentient""? How do we 
 define ""human""? And how well do we actually understand - and how well 
 are we able to control - the amazing technology our species seems to 
 have acquired so suddenly?As an avid film fan, I found 'Westworld' immediately intriguing; not 
 only because it dares to challenge the viewer with fascinating 
 philosophical questions and scientific concepts, but also because its 
 premise offers the chance to explore a wide range of film genres: sci- 
 fi, western, drama, horror - to name but a few. In the first few 
 episodes alone, there are hints of many of my favorite films and 
 stories such as (obviously) 'Frankenstein', 'Blade Runner', 'A.I.', 'Ex 
 Machina', 'Jurassic Park', 'The Truman Show' and 'Rise of the Planet of 
 the Apes' (and I suspect somewhere down the road there will be a strong 
 'Spartacus' vibe). As for the non plot related aspects of the show: 
 production design, music and effects are fantastic - as we've come to 
 expect from HBO's high concept productions - and, with very few 
 exceptions, the impressive ensemble of high caliber actors do a great 
 job at bringing their respective characters to life (artificial and 
 otherwise).A special mention needs to go to Ed Harris and Anthony Hopkins: their 
 charismatic screen presence is once more just impossible to ignore and 
 they simply own every scene they're in. Generally speaking, there 
 really isn't much to complain about in 'Westworld' (so far), and I'm 
 pretty sure HBO have another winner. Given the amount of talent 
 involved, anything else actually would have been surprising. Produced 
 by J.J. Abrams, created by Jonathan Nolan and Lisa Joy Nolan based on a 
 concept by the late - great - Michael Crichton; directed by Neil 
 Marshall and Vincenzo Natali (among others), and with a cast most shows 
 would kill for, the stars really seem to have aligned for 'Westworld'.My overall verdict so far: 'Westworld' is intelligent science fiction 
 for adults (some scenes are very graphic) which offers more than just 
 eye candy and is full of mysteries for the patient viewer to uncover. 
 The show's main themes may not be new, but I found the way they are 
 presented never less than compelling. It succeeds in creating a 
 powerful metaphor for oppression, and by showing how quickly humans 
 tend to deem ""un-humane"" treatment of other beings acceptable - once 
 they've managed to convince themselves they're ""less"" human than they 
 are - the show drove a point home that resonated strongly with me. 8 
 stars out of 10.Favorite TV-Shows reviewed: imdb.com/list/ls075552387/Favorite films: IMDb.com/list/mkjOKvqlSBs/Lesser-Known Masterpieces: imdb.com/list/ls070242495/Favorite Low-Budget and B-Movies: imdb.com/list/ls054808375/"
2,HBO,Silicon Valley,2575988,"I have been a member of IMDb for many many years now and am a big movie and TV enthusiast. That said, until now, not once have I felt the need to type up a review. Silicon Valley if possibly the funniest show I have seen, ever. The writing is thoughtful, with perfect comedic timing. The only word to describe the characters is awesome. They all work so well together that the comedy flows effortlessly. I am surprised to see that this show is coming from HBO. I would expect a show like this from Netflix but not HBO. But I must commend them because they hit this one out the park. I look forward to what I hope will be a long lasting series with many more seasons to come. You can see from my profile that I have been a member here for many years and have not ever written a single review, so you can be assured that what I say is true. If you haven't seen Silicon Valley you are missing out. Go check it out!"
3,HBO,Barry,5348176,"I agree with everything good said about this black comedy and can only emphatically add that the Chechen gang is exquisitely crafted and hilarious. Perhaps the most extraordinary character, the bald Noho (""Can I get you a submarine sandwich?""), is unforgettable. Just a brilliant performance. The ridiculous twins, one who is obsessed with killing Barry and then his tortuous brother who insists on building a set of stocks, are wonderfully absurd."
4,HBO,The Sopranos,0141842,"The Sopranos is arguably the greatest show in Dramatic Television history.Its hard to think of another series that boasts so much intelligence, sublime writing or first rate performances.Across its epic scope it produces fresh and iconic characters and a constant level of high quality. Centering around the life of one Tony Soprano, a man who lives in two families. One is the conventional wife and two kids nuclear family the other a huge New Jersey Mafia group, of which he is the boss of both. Played by James Gandolfini, of True Romance and The Mexican fame, Tony is a fascinating, scary but also likable guy. Full praise must be given to Gandolfini for making a womanising and horrifically aggressive brute a genuinely identifiable and perfect leading man. Contemporay American drama has never had such an arresting and iconic figure as Tony.The cast of hundreds never boasts a flat performance and such stand out characters like Paulie Walnuts and Ralph Cifaretto will stick in your memory for ever.The true genius of this tale however, is the creator and writers bravery and revolutionary take on a conventional drama series. Twenty minute long dream sequences, powerful and original use of symbolism and metaphorical imagery and truly shocking scenes of violence. Yet all this style is met by truly touching themes of love, honour and respect for family. The series never becomes cold hearted or gratuitous.With TV now competitive and often poor The Sopranos stands tall above the rest as America's most original and compelling drama. Forget Family Redifined. This is Television Redifined."
5,HBO,True Detective,2356777,"Right when the opening credits start and you hear that morbidly beautiful song 'Far From Any Road' by 'The Handsome Family', you know that this isn't going to be your usual cop show. Now, if you're more into action films, avoid this at all costs - but if you like amazing performances and dark, brooding cinema peppered with some black humour and a slight psychedelic touch, you're going to love this. The atmosphere and the southern ambiance of this show are so rich and the cinematography is so beautiful, I can hardly think of anything in recent TV-history that compares to this. To make a musical analogy: if the crazy, creative energy of 'Breaking Bad' felt like 'Led Zeppelin', this feels more like 'The Doors'. The slow, bluesy, hypnotic pulse of this show draws you in and hooks you - and then it doesn't let go. By the way, the original music is also excellent (T-Bone Burnett) and fits the mood perfectly. As far as the actors are concerned, there's nothing but great performances. Even the smaller parts are perfectly cast and the two leads: wow, just - wow! Harrelson (freshly returned from 'The Hunger Games'), plays the ""normal"", more down to earth character, while McConaughey (still marked by his own personal hunger games) nails the part of his slightly mad, highly intelligent but nihilistic and severely depressed partner. Watching them play off each other (again, after 'Edtv' and 'Surfer, Dude') while their conflicted - and conflicting - characters try to solve a ritual murder is so captivating (and so much fun) I honestly don't care that much if they are ever going to solve that crime.So for the moment, I'm giving this 10 stars (I can still take back a few if it all goes downhill from here), because in my opinion, there wasn't a single note out of key so far. The writing is top notch, and if the creative team behind this can keep it up, this could turn out to be HBO's next 'Wire' in terms of quality. Cary Fukunaga ('Sin Nombre','Jane Eyre'), who will hopefully one day adapt Stephen King's 'It', proves once more that he's a very accomplished director and a talent to look out for in the future. My verdict: if you like a well told, character driven story (that might lead you to some very dark places) and if you're not put off by a rather considerate pace, I can't recommend this show enough - this is some great television.Favorite films: IMDb.com/list/mkjOKvqlSBs/Lesser-Known Masterpieces: imdb.com/list/ls070242495/Favorite Low-Budget and B-Movies: imdb.com/list/ls054808375/Favorite TV-Shows reviewed: imdb.com/list/ls075552387/"
6,HBO,The Wire,0306414,"Along with TV-shows like 'Oz', 'Deadwood', 'The Sopranos' and 'Six Feet Under', David Simon's 'The Wire' was part of a revolution - qualitywise - in television. Although it is very entertaining, this isn't just entertainment; this is art, pure and simple - and the concept of this show was groundbreaking. On the surface, one might think this is a show about crime, but really, 'The Wire' is about the life and soul of a whole city. Every aspect of the city of Baltimore gets its share of screen time, and the way this is done - the writing, the direction, the amazing performances by the terrific cast; the music, the camera work, the realism... I could go on and on - is just outstanding. On par with 'Generation Kill' (no wonder, since the same creative team was behind both), this is as good as television gets.Favorite films: http://www.IMDb.com/list/mkjOKvqlSBs/Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/Favorite Low-Budget and B-Movies: http://www.imdb.com/list/ls054808375/Favorite TV-Shows reviewed: http://www.imdb.com/list/ls075552387/"
7,HBO,True Blood,0844441,"Dracula living in a trailer park instead of a castle. NOSFERATU out on the bayou. THE LOST BOYS hangin' out down by the Chattahoochie with a keg, instead of in an underground lair with a beachfront view. A great dinner of catfish, blackeyed peas and rice and cornbread, served up with a tall, warm, bubbly bottle of...BLOOD.However you want to describe it, TRUE BLOOD is not only unlike any vampire story that's been done before, it's not like any series that's on right now. It's DARK SHADOWS-meets deep-fried Southern Gothic, and only Alan Ball, the creator of SIX FEET UNDER, would dare stick his neck out to bring it to you.Based on the novels of Charlaine Harris, which I've never read, (but certainly will after this!), BLOOD takes place in the not-too-distant future. It's been two years since the world got a shock it never expected: vampires came ""out of the coffin"" as a race. We suspected they always lived - and fed - amongst us, but now it's official, and just as before with race relations and as it is now with GLBT people, the reaction across the board is the same - fear of change and fear of the unknown influences most people's feelings about it. And it doesn't seem to matter much that vamps now opt for finding nourishment from a bottled beverage made of synthetic plasma called - wait for it - ""TRU BLOOD"", rather than from the warm, breathing, two-legged receptacles called Everybody Else.Sookie Stackhouse, however, has her own unique take on the whole deal. Sookie (X-MEN'S Anna Paquin) lives and works as a waitress in Bon Temps, LA, at a roadhouse restaurant called Merlotte's, the center of most of the series' action. She serves up pitchers of beer and sweet tea, and will give you a piece of her mind, once she has a piece of yours...though you'll wonder how she knew what you were thinking. Sookie is a telepath, and unfortunately for her, she can't turn off the constant flow of other peoples' streams of consciousness...most of which offers way too much information.The only minds she can't read are vampire minds, something she discovers when she encounters Bon Temps' first vamp, the courtly and smoldering Bill Compton (Brit actor Stephen Moyer in a bravura performance). They are taken with each other on first sight - Sookie, who is not afraid of the unusual since she herself fits that category all too well, and Bill because he cannot figure her out - is she mortal, or something more?Looking on this blossoming romance in various stages of curiosity, disgust or outright disapproval are Sookie's brother, Jason (Ryan Kwanten), a walking hormone on two legs whose IQ matches his boot size; headstrong, opinionated Tara (Rutina Wesley), Sookie's childhood BFF; Sam Merlotte himself (Sam Trammell), Sookie's boss, who's got it bad for her and wears his heart on his sleeve on and off the clock; Lafayette Reynolds (Nelsan Ellis), the boldly out, proud and randy cook who serves as Greek chorus, instigator and confidante to Merlotte's employees, but most especially to Sookie, and her 'Gran', Adele Stackhouse (the marvelous Lois Smith), who couldn't be happier that Sookie is romantically involved with somebody...even if he is undead. Not a single opportunity is wasted here to explore every nuance of mixing the ordinary with the extraordinary, in a way that even a series as outstanding as BUFFY could only get close to. Passion burns, secrets abound, betrayal, murder and things even worse lurk around every corner. It's what you've hoped for but never gotten from every soap opera that couldn't show you what was REALLY going on...until now.Best of all, TRUE BLOOD is like the best songs that come from Mississippi Delta blues. It has an irresistible melody and a driving beat that pulses with sex, muscular sensuality and undeniable heat, with an undertone of menace lurking just beneath, ready to explode without warning...and sometimes even without provocation.As with 6FU, Ball and his crew are firing on all cylinders here in the first two episodes I've seen. I sure hope they can keep it going...With the early renewal for a second season, HBO sure seems to agree, and so do the fans. Especially this one."
8,HBO,Sex and the City,0159206,"In its 6 year, 94 episode run, we've seen the four girls grow and develop through their relationship, neuroses, and daily life in New York. The main narrator and the girl who 'knows it all' is Carrie Bradshaw (Sarah Jessica Parker) who writes a sex column for the newspaper and has a bizarre taste in fashion. Her on-off boyfriend is the mysterious Mr Big (Chris Noth), who has dreadful chat-up lines and a big ego, but there have been others - notably the sweet Aidan (John Corbett, fresh from 'Northern Exposure') and the mysterious Russian artist in the final series (played by Mikhail Baryshnikov).Charlotte York (Kristin Davis) is pure Park Avenue, looking for the man of her dreams. He isn't Trey MacDougall (Kyle MacLachlan), although they have a good try making things work; he turns out to be baldy divorce lawyer Harry instead. While we see Miranda Hobbes (Cynthia Nixon) move from power-suited lawyer to earth mother, with the cute Steve Brady (David Eigenberg); Samantha (Kim Cattrall) - man-eater and contortionist extraordinaire - finds love after a last season bout of personal trauma.The strengths of 'Sex in the City' are mainly in the tone of Carrie's narration, some of the situations we see (the sex therapy session; the dance on the roof; all those opening nights at chic clubs), and the supporting characters, especially Willie Garson as Stanford Blatch. SATC was watchable throughout all its series, and remains so in repeated showings. I'll just miss seeing Carrie's wonderful frocks, how far Samantha will go this week, what Miranda will get worked up about, and whether Charlotte still believes in true love."
9,HBO,Ballers,2891574,"This is a show that deserves at least a 7.5 - 8.0. There's no show out there like it really right now. The actors are good, im not just talking about Dwayne Johnson but everyone else. They just go good with this show & what its about.I like shows like The League & I do like football so this does interest me but I do truthfully think even if you're not totally into football you would still like this for what it has to offer. It does obviously take a certain taste but its pretty common comedy so a lot would like it. Its not amazing or a Must Watch!!! but its worth it in my opinion. They cancelled a show that I did like the pilot of which was The Rebels which is also about football & its funny. It's good to see another one come along & hopefully it can remain around."
