,alternate_titles,artwork_208x117,artwork_304x171,artwork_448x252,artwork_608x342,container_show,first_aired,freebase,id,imdb_id,themoviedb,title,tvdb,tvrage,wikipedia_id
0,[],http://static-api.guidebox.com/060515/thumbnails_small/6959-7755267811-208x117.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/6959-8255587010-304x171.jpg,http://static-api.guidebox.com/060515/thumbnails_large/6959-7500693383-448x252.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/6959-423900909-608x342.jpg,0,2011-04-17,/m/0524b41,6959,tt0944947,1399,Game of Thrones,121361,"{u'link': u'http://www.tvrage.com/shows/id-24493', u'tvrage_id': 24493}",20715044.0
1,[],http://static-api.guidebox.com/091716/thumbnails_small/38948-4959284808-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/38948-5728639164-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/38948-1003983417-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/38948-7817636546-608x342.jpg,0,2016-10-02,,38948,tt0475784,63247,Westworld,296762,"{u'link': u'http://www.tvrage.com/shows/id-37537', u'tvrage_id': 37537}",43369485.0
2,[],http://static-api.guidebox.com/060515/thumbnails_small/18321-3091426259-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/18321-5445096549-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_large/18321-3060546583-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/18321-231362116-608x342-show-thumbnail.jpg,0,2014-04-06,/m/0_1n138,18321,tt2575988,60573,Silicon Valley,277165,"{u'link': u'http://www.tvrage.com/shows/id-33759', u'tvrage_id': 33759}",41577351.0
3,[],http://static-api.guidebox.com/100117/thumbnails_small/47037-8775650933-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/47037-9039182313-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/47037-144790723-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/47037-1835502880-608x342.jpg,0,2018-03-25,,47037,tt5348176,73107,Barry,333072,"{u'link': None, u'tvrage_id': None}",51196320.0
4,[],http://static-api.guidebox.com/thumbnails_small/6969-3911711364-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/6969-5320722591-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/6969-8300557150-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/6969-7340823789-608x342.jpg,0,1999-01-10,/m/0kfv9,6969,tt0141842,1398,The Sopranos,75299,"{u'link': u'http://www.tvrage.com/shows/id-6206', u'tvrage_id': 6206}",78242.0
5,[],http://static-api.guidebox.com/060515/thumbnails_small/17205-961613977-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/17205-6749306023-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_large/17205-6491617258-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/17205-2367539276-608x342-show-thumbnail.jpg,0,2014-01-12,/m/0qrzyqw,17205,tt2356777,46648,True Detective,270633,"{u'link': u'http://www.tvrage.com/shows/id-31369', u'tvrage_id': 31369}",38411152.0
6,[],http://static-api.guidebox.com/thumbnails_small/7135-9287152509-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/7135-7920276271-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/7135-5214426494-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/7135-9837593720-608x342.jpg,0,2002-06-02,/m/0464pz,7135,tt0306414,1438,The Wire,79126,"{u'link': u'http://www.tvrage.com/shows/id-6296', u'tvrage_id': 6296}",1102458.0
7,[u'A Drop of True Blood'],http://static-api.guidebox.com/060515/thumbnails_small/6965-6462675803-208x117.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/6965-1625396307-304x171.jpg,http://static-api.guidebox.com/060515/thumbnails_large/6965-1845656941-448x252.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/6965-6482311021-608x342.jpg,0,2008-09-07,/m/02pqs8l,6965,tt0844441,10545,True Blood,82283,"{u'link': u'http://www.tvrage.com/shows/id-12662', u'tvrage_id': 12662}",18624945.0
8,[u'SATC'],http://static-api.guidebox.com/thumbnails_small/6979-1220759894-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/6979-2769725793-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/6979-5918535436-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/6979-6899360167-608x342.jpg,0,1998-06-06,/m/0l76z,6979,tt0159206,105,Sex and the City,76648,"{u'link': u'http://www.tvrage.com/shows/id-5155', u'tvrage_id': 5155}",82842.0
9,[],http://static-api.guidebox.com/060515/thumbnails_small/31919-4251591810-208x117.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/31919-3179330621-304x171.jpg,http://static-api.guidebox.com/060515/thumbnails_large/31919-2327349587-448x252.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/31919-4084979892-608x342.jpg,0,2015-06-21,/m/0w05g70,31919,tt2891574,62704,Ballers,281714,"{u'link': u'http://www.tvrage.com/shows/id-38517', u'tvrage_id': 38517}",42710185.0
10,[u'Crew of Boardwalk Empire'],http://static-api.guidebox.com/thumbnails_small/7097-2028125604-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/7097-7900299080-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/7097-9095701924-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/7097-4356318577-608x342.jpg,0,2010-09-19,/m/080dwhx,7097,tt0979432,1621,Boardwalk Empire,84947,"{u'link': u'http://www.tvrage.com/shows/id-23561', u'tvrage_id': 23561}",24565032.0
11,[],http://static-api.guidebox.com/thumbnails_small/7008-8749287179-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/7008-6288189539-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/7008-8401230131-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/7008-9827693612-608x342.jpg,0,2004-03-21,/m/039c26,7008,tt0348914,1406,Deadwood,72023,"{u'link': u'http://www.tvrage.com/shows/id-3267', u'tvrage_id': 3267}",762893.0
12,[],http://static-api.guidebox.com/091414/thumbnails_small/18948-4861085555-208x117.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/18948-5329329907-304x171.jpg,http://static-api.guidebox.com/091414/thumbnails_large/18948-9028148702-448x252.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/18948-9300996731-608x342.jpg,0,2014-06-30,/m/0w1dzvx,18948,tt2699128,54344,The Leftovers,269689,"{u'link': u'http://www.tvrage.com/shows/id-34506', u'tvrage_id': 34506}",39715412.0
13,[],http://static-api.guidebox.com/thumbnails_small/6984-3696034975-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/6984-6964955563-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/6984-172556066-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/6984-6355211185-608x342.jpg,0,2000-10-01,/m/01ft14,6984,tt0264235,4546,Curb Your Enthusiasm,76203,"{u'link': u'http://www.tvrage.com/shows/id-3188', u'tvrage_id': 3188}",217231.0
