,alternate_titles,artwork_208x117,artwork_304x171,artwork_448x252,artwork_608x342,container_show,first_aired,freebase,id,imdb_id,themoviedb,title,tvdb,tvrage,wikipedia_id
0,[u'A Series of Unfortunate Events'],http://static-api.guidebox.com/091716/thumbnails_small/41317-9209324191-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/41317-1171019054-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/41317-7409853055-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/41317-5859806933-608x342.jpg,0,2017-01-08,,41317,tt4834206,65294,Lemony Snicket's A Series of Unfortunate Events,306304,"{u'link': None, u'tvrage_id': None}",49732269.0
1,[],http://static-api.guidebox.com/091716/thumbnails_small/42547-7680221428-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/42547-1548142443-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/42547-7280003153-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/42547-3149956749-608x342.jpg,0,2017-01-24,,42547,tt5580540,69470,Santa Clarita Diet,320450,"{u'link': None, u'tvrage_id': None}",49844655.0
2,"[u""Marvel's Jessica Jones"", u""Marvel's A.K.A. Jessica Jones""]",http://static-api.guidebox.com/111615/thumbnails_small/35107-4139431692-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_medium/35107-8702498404-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_large/35107-3268267499-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_xlarge/35107-1984689269-608x342-show-thumbnail.jpg,0,2015-11-20,,35107,tt2357547,38472,Marvel's Jessica Jones,284190,"{u'link': u'http://www.tvrage.com/shows/id-38797', u'tvrage_id': 38797}",41865524.0
3,[],http://static-api.guidebox.com/111615/thumbnails_small/37760-1674682359-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_medium/37760-5441134823-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_large/37760-8750890046-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_xlarge/37760-6112872101-608x342-show-thumbnail.jpg,0,2016-07-15,,37760,tt4574334,66732,Stranger Things,305288,"{u'link': u'http://www.tvrage.com/shows/id-48493', u'tvrage_id': 48493}",46301800.0
4,[u'Altered Carbon - Das Unsterblichkeitsprogramm'],http://static-api.guidebox.com/100117/thumbnails_small/47412-9770642998-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/47412-3577509984-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/47412-5541531579-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/47412-6616025120-608x342.jpg,0,2018-02-02,,47412,tt2261227,68421,Altered Carbon,332331,"{u'link': None, u'tvrage_id': None}",49168800.0
5,[],http://static-api.guidebox.com/thumbnails_small/15631-8850291003-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/15631-6489921012-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/15631-9224485405-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/15631-9103656835-608x342.jpg,0,2013-07-11,/m/0hr22w5,15631,tt2372162,1424,Orange Is the New Black,264586,"{u'link': u'http://www.tvrage.com/shows/id-32950', u'tvrage_id': 32950}",34119966.0
6,[],http://static-api.guidebox.com/091716/thumbnails_small/35633-6726677376-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/35633-8717982014-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/35633-8762162025-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/35633-8096580840-608x342.jpg,0,2016-02-04,/m/0w2cs8j,35633,tt4061080,53606,Love,305378,"{u'link': None, u'tvrage_id': None}",9873457.0
7,[],http://static-api.guidebox.com/111615/thumbnails_small/32533-5126612708-208x117.jpg,http://static-api.guidebox.com/111615/thumbnails_medium/32533-5900745443-304x171.jpg,http://static-api.guidebox.com/111615/thumbnails_large/32533-1008175239-448x252.jpg,http://static-api.guidebox.com/111615/thumbnails_xlarge/32533-8344062557-608x342.jpg,0,2015-08-18,,32533,tt2707408,63351,Narcos,282670,"{u'link': u'http://www.tvrage.com/shows/id-37241', u'tvrage_id': 37241}",44819477.0
8,[u'The Punisher'],http://static-api.guidebox.com/100117/thumbnails_small/46143-6190749030-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/46143-1154217576-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/46143-7790781562-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/46143-1409650357-608x342.jpg,0,2017-11-17,,46143,tt5675620,67178,Marvel's The Punisher,331980,"{u'link': u'http://www.tvrage.com/shows/id-52104', u'tvrage_id': 52104}",49164143.0
9,[u'Daredevil'],http://static-api.guidebox.com/111615/thumbnails_small/25147-3884560815-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_medium/25147-7621311252-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_large/25147-9808975551-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_xlarge/25147-6197672807-608x342-show-thumbnail.jpg,0,2015-02-03,/m/010pwp1_,25147,tt3322312,61889,Marvel's Daredevil,281662,"{u'link': u'http://www.tvrage.com/shows/id-38796', u'tvrage_id': 38796}",42433292.0
10,"[u'House of Cards (2013)', u'House of Cards (US)']",http://static-api.guidebox.com/111615/thumbnails_small/14461-6190164420-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_medium/14461-8911862890-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_large/14461-1076299325-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_xlarge/14461-9087308645-608x342-show-thumbnail.jpg,0,2013-02-01,/m/0h3rv9x,14461,tt1856010,1425,House of Cards,262980,"{u'link': u'http://www.tvrage.com/shows/id-27822', u'tvrage_id': 27822}",32670973.0
11,[],http://static-api.guidebox.com/100117/thumbnails_small/43494-2174719852-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/43494-2374932422-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/100117/thumbnails_large/43494-8294785740-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/43494-6706445236-608x342-show-thumbnail.jpg,0,2017-10-13,,43494,tt5290382,67744,Mindhunter,328708,"{u'link': None, u'tvrage_id': None}",49681637.0
12,[],http://static-api.guidebox.com/100117/thumbnails_small/37630-4346821504-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/37630-2451395090-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/100117/thumbnails_large/37630-8285170290-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/37630-1513662525-608x342-show-thumbnail.jpg,0,2016-04-04,,37630,tt5269594,66023,Marcella,308986,"{u'link': None, u'tvrage_id': None}",49986182.0
13,[],http://static-api.guidebox.com/091716/thumbnails_small/36036-8570745205-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/36036-8713408685-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/36036-7201104383-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/36036-6623414638-608x342.jpg,0,2015-05-08,/m/010r6_72,36036,tt3609352,62320,Grace and Frankie,282562,"{u'link': u'http://www.tvrage.com/shows/id-41466', u'tvrage_id': 41466}",43696046.0
14,[],http://static-api.guidebox.com/091414/thumbnails_small/2098-4213483650-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/2098-6882581105-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/2098-7307781619-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/2098-677562375-608x342-show-thumbnail.jpg,0,2003-11-02,/m/02hct1,2098,tt0367279,4589,Arrested Development,72173,"{u'link': u'http://www.tvrage.com/shows/id-2649', u'tvrage_id': 2649}",496020.0
15,[u'Sense 8'],http://static-api.guidebox.com/111615/thumbnails_small/29454-894856709-208x117.jpg,http://static-api.guidebox.com/111615/thumbnails_medium/29454-1770963208-304x171.jpg,http://static-api.guidebox.com/111615/thumbnails_large/29454-2588492548-448x252.jpg,http://static-api.guidebox.com/111615/thumbnails_xlarge/29454-2181403884-608x342.jpg,0,2015-05-28,,29454,tt2431438,61664,Sense8,268156,"{u'link': u'http://www.tvrage.com/shows/id-35197', u'tvrage_id': 35197}",39595312.0
16,[u'The Ranch (2016)'],http://static-api.guidebox.com/100117/thumbnails_small/36652-5897411476-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/36652-8944034502-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/36652-7375258868-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/36652-9294832991-608x342.jpg,0,2016-04-01,,36652,tt4998212,65493,The Ranch,305165,"{u'link': u'http://www.tvrage.com/shows/id-49605', u'tvrage_id': 49605}",47048173.0
